repository_full_name,name,owner,url,visibility,archived,default_branch,clone_url
"carcinocron/awesome-list","awesome-list","carcinocron","https://github.com/carcinocron/awesome-list","public","false","master","https://github.com/carcinocron/awesome-list.git"
"careysucci/awesome-list","awesome-list","careysucci","https://github.com/careysucci/awesome-list","public","false","main","https://github.com/careysucci/awesome-list.git"
"Catherinesjkim/awesome-list","awesome-list","Catherinesjkim","https://github.com/Catherinesjkim/awesome-list","public","false","master","https://github.com/Catherinesjkim/awesome-list.git"
"CBstrike/awesome-list","awesome-list","CBstrike","https://github.com/CBstrike/awesome-list","public","false","main","https://github.com/CBstrike/awesome-list.git"
"CENL-Network-Group-AI/awesome-list","awesome-list","CENL-Network-Group-AI","https://github.com/CENL-Network-Group-AI/awesome-list","public","false","main","https://github.com/CENL-Network-Group-AI/awesome-list.git"
"cephurs/awesome-list","awesome-list","cephurs","https://github.com/cephurs/awesome-list","public","false","main","https://github.com/cephurs/awesome-list.git"
"ceramicnetwork/awesome","awesome","ceramicnetwork","https://github.com/ceramicnetwork/awesome","public","false","master","https://github.com/ceramicnetwork/awesome.git"
"cgb-tech/awesome-list","awesome-list","cgb-tech","https://github.com/cgb-tech/awesome-list","public","false","master","https://github.com/cgb-tech/awesome-list.git"
"cgcoder/awesome-list","awesome-list","cgcoder","https://github.com/cgcoder/awesome-list","public","false","main","https://github.com/cgcoder/awesome-list.git"
"chalettu/awesome-list","awesome-list","chalettu","https://github.com/chalettu/awesome-list","public","false","master","https://github.com/chalettu/awesome-list.git"
"chan-shaw/awesome-list","awesome-list","chan-shaw","https://github.com/chan-shaw/awesome-list","public","false","main","https://github.com/chan-shaw/awesome-list.git"
"changsongyang/awesome-list","awesome-list","changsongyang","https://github.com/changsongyang/awesome-list","public","false","master","https://github.com/changsongyang/awesome-list.git"
"chartjs/awesome","awesome","chartjs","https://github.com/chartjs/awesome","public","false","master","https://github.com/chartjs/awesome.git"
"Chau-Nguyen-Developer/awesome-list","awesome-list","Chau-Nguyen-Developer","https://github.com/Chau-Nguyen-Developer/awesome-list","public","false","main","https://github.com/Chau-Nguyen-Developer/awesome-list.git"
"chenglijunnanduo/awesome-list","awesome-list","chenglijunnanduo","https://github.com/chenglijunnanduo/awesome-list","public","false","master","https://github.com/chenglijunnanduo/awesome-list.git"
"ChengyaoWang/awesome-list","awesome-list","ChengyaoWang","https://github.com/ChengyaoWang/awesome-list","public","false","main","https://github.com/ChengyaoWang/awesome-list.git"
"chenlaoda/awesome-list","awesome-list","chenlaoda","https://github.com/chenlaoda/awesome-list","public","false","master","https://github.com/chenlaoda/awesome-list.git"
"chheikhlo/awesome-list","awesome-list","chheikhlo","https://github.com/chheikhlo/awesome-list","public","false","main","https://github.com/chheikhlo/awesome-list.git"
"ChidozieNdukaku/awesome-list","awesome-list","ChidozieNdukaku","https://github.com/ChidozieNdukaku/awesome-list","public","false","main","https://github.com/ChidozieNdukaku/awesome-list.git"
"Chr15t0pher/awesome-list","awesome-list","Chr15t0pher","https://github.com/Chr15t0pher/awesome-list","public","false","master","https://github.com/Chr15t0pher/awesome-list.git"
"chriskohlhoff/awesome","awesome","chriskohlhoff","https://github.com/chriskohlhoff/awesome","public","false","master","https://github.com/chriskohlhoff/awesome.git"
"christopherstyles/awesome-list","awesome-list","christopherstyles","https://github.com/christopherstyles/awesome-list","public","false","main","https://github.com/christopherstyles/awesome-list.git"
"Chronillogical-Potato/awesome-list","awesome-list","Chronillogical-Potato","https://github.com/Chronillogical-Potato/awesome-list","public","false","main","https://github.com/Chronillogical-Potato/awesome-list.git"
"chsjiang/awesome-list","awesome-list","chsjiang","https://github.com/chsjiang/awesome-list","public","false","main","https://github.com/chsjiang/awesome-list.git"
"chuckguynn/Awesome-List","Awesome-List","chuckguynn","https://github.com/chuckguynn/Awesome-List","public","false","master","https://github.com/chuckguynn/Awesome-List.git"
"CieloXor/awesome-list","awesome-list","CieloXor","https://github.com/CieloXor/awesome-list","public","false","main","https://github.com/CieloXor/awesome-list.git"
"cihangungor/awesome-list","awesome-list","cihangungor","https://github.com/cihangungor/awesome-list","public","false","main","https://github.com/cihangungor/awesome-list.git"
"classic130/awesome-list","awesome-list","classic130","https://github.com/classic130/awesome-list","public","false","main","https://github.com/classic130/awesome-list.git"
"cls-talha/awesome-list","awesome-list","cls-talha","https://github.com/cls-talha/awesome-list","public","false","main","https://github.com/cls-talha/awesome-list.git"
"cnsmark/awesome-list","awesome-list","cnsmark","https://github.com/cnsmark/awesome-list","public","false","master","https://github.com/cnsmark/awesome-list.git"
"cnzhoufei/awesome-list","awesome-list","cnzhoufei","https://github.com/cnzhoufei/awesome-list","public","false","master","https://github.com/cnzhoufei/awesome-list.git"
"code4everything/awesome-list","awesome-list","code4everything","https://github.com/code4everything/awesome-list","public","false","master","https://github.com/code4everything/awesome-list.git"
"coderup2u/awesome-list","awesome-list","coderup2u","https://github.com/coderup2u/awesome-list","public","false","main","https://github.com/coderup2u/awesome-list.git"
"codexlocal/awesome-list","awesome-list","codexlocal","https://github.com/codexlocal/awesome-list","public","false","main","https://github.com/codexlocal/awesome-list.git"
"comdex-official/awesome","awesome","comdex-official","https://github.com/comdex-official/awesome","public","false","main","https://github.com/comdex-official/awesome.git"
"cometkim/awesome-list","awesome-list","cometkim","https://github.com/cometkim/awesome-list","public","false","master","https://github.com/cometkim/awesome-list.git"
"component-driven/awesome-list","awesome-list","component-driven","https://github.com/component-driven/awesome-list","public","false","master","https://github.com/component-driven/awesome-list.git"
"compose-multiplatform/awesome","awesome","compose-multiplatform","https://github.com/compose-multiplatform/awesome","public","false","main","https://github.com/compose-multiplatform/awesome.git"
"cooslife/awesome-list","awesome-list","cooslife","https://github.com/cooslife/awesome-list","public","false","main","https://github.com/cooslife/awesome-list.git"
"cpa519904/awesome-list","awesome-list","cpa519904","https://github.com/cpa519904/awesome-list","public","false","master","https://github.com/cpa519904/awesome-list.git"
"cpereiraweb/awesome-list","awesome-list","cpereiraweb","https://github.com/cpereiraweb/awesome-list","public","false","main","https://github.com/cpereiraweb/awesome-list.git"
"craftcms/awesome","awesome","craftcms","https://github.com/craftcms/awesome","public","false","main","https://github.com/craftcms/awesome.git"
"crypto-org-chain/awesome","awesome","crypto-org-chain","https://github.com/crypto-org-chain/awesome","public","false","main","https://github.com/crypto-org-chain/awesome.git"
"cubuanic-books/awesome-list","awesome-list","cubuanic-books","https://github.com/cubuanic-books/awesome-list","public","false","master","https://github.com/cubuanic-books/awesome-list.git"
"CullenAPCSPrinciples-Master/awesome-list","awesome-list","CullenAPCSPrinciples-Master","https://github.com/CullenAPCSPrinciples-Master/awesome-list","public","false","master","https://github.com/CullenAPCSPrinciples-Master/awesome-list.git"
"CWSpear/awesome-list","awesome-list","CWSpear","https://github.com/CWSpear/awesome-list","public","false","gh-pages","https://github.com/CWSpear/awesome-list.git"
"CyberThinkerer/awesome-list","awesome-list","CyberThinkerer","https://github.com/CyberThinkerer/awesome-list","public","false","main","https://github.com/CyberThinkerer/awesome-list.git"
"CyrusSigei/awesome-list","awesome-list","CyrusSigei","https://github.com/CyrusSigei/awesome-list","public","false","main","https://github.com/CyrusSigei/awesome-list.git"
"Da-Peter/awesome-list","awesome-list","Da-Peter","https://github.com/Da-Peter/awesome-list","public","false","master","https://github.com/Da-Peter/awesome-list.git"
"Dan-StrategicAutomation/awesome-list","awesome-list","Dan-StrategicAutomation","https://github.com/Dan-StrategicAutomation/awesome-list","public","false","main","https://github.com/Dan-StrategicAutomation/awesome-list.git"
"Dandi007/awesome-list","awesome-list","Dandi007","https://github.com/Dandi007/awesome-list","public","false","qinglin-dev","https://github.com/Dandi007/awesome-list.git"
"Dandyliar/awesome-list","awesome-list","Dandyliar","https://github.com/Dandyliar/awesome-list","public","false","master","https://github.com/Dandyliar/awesome-list.git"
"danielmakarzec/awesome-list","awesome-list","danielmakarzec","https://github.com/danielmakarzec/awesome-list","public","false","master","https://github.com/danielmakarzec/awesome-list.git"
"danny27605/awesome-list","awesome-list","danny27605","https://github.com/danny27605/awesome-list","public","false","master","https://github.com/danny27605/awesome-list.git"
"dantenerolmh/awesome-list","awesome-list","dantenerolmh","https://github.com/dantenerolmh/awesome-list","public","false","master","https://github.com/dantenerolmh/awesome-list.git"
"Darksidesfear/awesome-list","awesome-list","Darksidesfear","https://github.com/Darksidesfear/awesome-list","public","false","main","https://github.com/Darksidesfear/awesome-list.git"
"davanstrien/awesome-list","awesome-list","davanstrien","https://github.com/davanstrien/awesome-list","public","false","main","https://github.com/davanstrien/awesome-list.git"
"DavidKlapsia/awesome-list","awesome-list","DavidKlapsia","https://github.com/DavidKlapsia/awesome-list","public","false","master","https://github.com/DavidKlapsia/awesome-list.git"
"dc0820/awesome-list","awesome-list","dc0820","https://github.com/dc0820/awesome-list","public","false","main","https://github.com/dc0820/awesome-list.git"
"Deadnaut0/awesome-list","awesome-list","Deadnaut0","https://github.com/Deadnaut0/awesome-list","public","false","main","https://github.com/Deadnaut0/awesome-list.git"
"demoonwu/awesome-list","awesome-list","demoonwu","https://github.com/demoonwu/awesome-list","public","false","master","https://github.com/demoonwu/awesome-list.git"
"dennyhaq/awesome-list","awesome-list","dennyhaq","https://github.com/dennyhaq/awesome-list","public","false","main","https://github.com/dennyhaq/awesome-list.git"
"derdela/awesome-list","awesome-list","derdela","https://github.com/derdela/awesome-list","public","false","master","https://github.com/derdela/awesome-list.git"
"dev1l5/awesome-list","awesome-list","dev1l5","https://github.com/dev1l5/awesome-list","public","false","main","https://github.com/dev1l5/awesome-list.git"
"DevriX/Awesome-List","Awesome-List","DevriX","https://github.com/DevriX/Awesome-List","public","false","master","https://github.com/DevriX/Awesome-List.git"
"devsapp/awesome","awesome","devsapp","https://github.com/devsapp/awesome","public","false","main","https://github.com/devsapp/awesome.git"
"DfKiki/awesome-list","awesome-list","DfKiki","https://github.com/DfKiki/awesome-list","public","false","main","https://github.com/DfKiki/awesome-list.git"
"Dheia/awesome-list","awesome-list","Dheia","https://github.com/Dheia/awesome-list","public","false","master","https://github.com/Dheia/awesome-list.git"
"diallo310/awesome-list","awesome-list","diallo310","https://github.com/diallo310/awesome-list","public","false","master","https://github.com/diallo310/awesome-list.git"
"didier-Alfea/awesome-list","awesome-list","didier-Alfea","https://github.com/didier-Alfea/awesome-list","public","false","master","https://github.com/didier-Alfea/awesome-list.git"
"DiegoGruhn/awesome-list","awesome-list","DiegoGruhn","https://github.com/DiegoGruhn/awesome-list","public","false","main","https://github.com/DiegoGruhn/awesome-list.git"
"digitalatlantique/awesome-list","awesome-list","digitalatlantique","https://github.com/digitalatlantique/awesome-list","public","false","master","https://github.com/digitalatlantique/awesome-list.git"
"DileepChintu1/awesome-list","awesome-list","DileepChintu1","https://github.com/DileepChintu1/awesome-list","public","false","main","https://github.com/DileepChintu1/awesome-list.git"
"dineshkatta2802/Awesome-List","Awesome-List","dineshkatta2802","https://github.com/dineshkatta2802/Awesome-List","public","false","main","https://github.com/dineshkatta2802/Awesome-List.git"
"DIPDV/awesome-list","awesome-list","DIPDV","https://github.com/DIPDV/awesome-list","public","false","main","https://github.com/DIPDV/awesome-list.git"
"Direnol/awesome-list","awesome-list","Direnol","https://github.com/Direnol/awesome-list","public","false","master","https://github.com/Direnol/awesome-list.git"
"Divyn/awesome-list","awesome-list","Divyn","https://github.com/Divyn/awesome-list","public","false","main","https://github.com/Divyn/awesome-list.git"
